cid,cmpdname,smiles,cell_line,predicted_score
21958071,(2-Aminoethoxy)({5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene})amine; but-2-enedioic acid,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O,HUVEC,-0.004609405994415283
8794,Phenylacetonitrile,C1=CC=C(C=C1)CC#N,HUVEC,-0.00426163524389267
10391,Beclamide,C1=CC=C(C=C1)CNC(=O)CCCl,HUVEC,-0.004132449626922607
13373005,(E)-But-2-enedioic acid;2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C/C(=O)O)\C(=O)O,HUVEC,-0.004049472510814667
5384136,(E)-5-Methoxy-1-(4-(trifluoromethyl)phenyl)pentan-1-one O-(2-aminoethyl) oxime maleate,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O,HUVEC,-0.004021972417831421
644073,Buprenorphine,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,HUVEC,-0.004001736640930176
9560989,Fluvoxamine Maleate,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O,HUVEC,-0.0036757364869117737
43725,But-2-enedioic acid;2-[[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O,HUVEC,-0.0033528506755828857
5361309,but-2-enedioic acid;2-[(Z)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine,COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O,HUVEC,-0.0030275508761405945
6438165,Deramciclane fumarate,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(C3=CC=CC=C3)OCCN(C)C.C(=C/C(=O)O)\C(=O)O,HUVEC,-0.0030222535133361816
753,Glycerin,C(C(CO)O)O,HUVEC,-0.002861008048057556
441350,Metyrosine,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N,HUVEC,-0.002491600811481476
122282,Mebicar,CN1C2C(N(C1=O)C)N(C(=O)N2C)C,HUVEC,-0.002189740538597107
16078,Dronabinol,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,HUVEC,-0.0014060363173484802
11430856,Naluzotan,CC(=O)NC1=CC(=CC=C1)N2CCN(CC2)CCCCNS(=O)(=O)CC3CCCCC3,HUVEC,-0.0013759657740592957
101656013,"(1'R,2R,3S,4'S,6S,8'R,10'Z,12'S,13'S,14'Z,16'Z,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",C[C@H]1/C=C\C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(\[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)/C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,-0.0013012662529945374
9832750,Doramectin,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,-0.0005001723766326904
20055414,Lorpiprazole,C1C[C@H]2CN3C(=NN=C3[C@H]2C1)CCN4CCN(CC4)C5=CC=CC(=C5)C(F)(F)F,HUVEC,-0.0004676133394241333
134823895,Serdexmethylphenidate,COC(=O)[C@@H]([C@H]1CCCCN1C(=O)OC[N+]2=CC=CC(=C2)C(=O)N[C@@H](CO)C(=O)[O-])C3=CC=CC=C3,HUVEC,1.7277896404266357e-05
11154555,Cariprazine,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,HUVEC,4.79966402053833e-05
55191,Gepirone,CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=NC=CC=N3)C,HUVEC,0.00010374188423156738
8969,Yohimbine,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,HUVEC,0.0002870708703994751
11954226,CID 11954226,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6CC([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.0004304945468902588
15387,Melperone,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,HUVEC,0.0006214529275894165
2131,Ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,HUVEC,0.0012605339288711548
91273,Tandospirone,C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5,HUVEC,0.0015148743987083435
270840,"3,21-Dihydroxypregnan-20-one",CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O,HUVEC,0.0015865564346313477
137698359,25-cyclohexyl-5-O-demethyl-25-de(1-methylpropyl)avermectin A1a,C[C@H]1/C=C\C=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(\[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)/C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.0020953789353370667
51371336,Pharmakon1600-01505902,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1OC5C[C@@H](C([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.002158127725124359
162340896,"(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",C[C@H]1/C=C/C=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.0024367719888687134
5281565,Kavain,COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2,HUVEC,0.003236904740333557
3055171,Robalzotan,C1CC(C1)N([C@@H]2CC3=C(C=CC(=C3OC2)F)C(=O)N)C4CCC4,HUVEC,0.003332182765007019
54726192,Eravacycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(C(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,HUVEC,0.0034026354551315308
4763,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,HUVEC,0.003452874720096588
6305,Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,HUVEC,0.0037028267979621887
5530,Parnate,C1C(C1N)C2=CC=CC=C2,HUVEC,0.0037457868456840515
16048558,(-)-Kawain,COC1=CC(=O)O[C@@H](C1)/C=C/C2=CC=CC=C2,HUVEC,0.0043725669384002686
71433782,"(1'R,2R,3S,4'S,6S,8'R,12'S,13'S,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",C[C@H]1C=CC=C2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](CC=C([C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.004390686750411987
55190,Gepirone hydrochloride,CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=NC=CC=N3)C.Cl,HUVEC,0.004529044032096863
2477,Buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,HUVEC,0.004935130476951599
68617,Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,HUVEC,0.005147978663444519
10376,"4-Methoxy-2-(2-phenylethenyl)-2,3-dihydropyran-6-one",COC1=CC(=O)OC(C1)C=CC2=CC=CC=C2,HUVEC,0.005165465176105499
5281881,Flupentixol,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,HUVEC,0.00535912811756134
91885457,"(1S,2R)-2-phenylcyclopropan-1-amine;(1R,2S)-2-phenylcyclopropan-1-amine;sulfuric acid",C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@@H]([C@H]1N)C2=CC=CC=C2.OS(=O)(=O)O,HUVEC,0.006244242191314697
5566,Trifluoperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,HUVEC,0.006263740360736847
11473982,Tranylcypromine Sulfate,C1[C@@H]([C@H]1N)C2=CC=CC=C2.C1[C@@H]([C@H]1N)C2=CC=CC=C2.OS(=O)(=O)O,HUVEC,0.006278373301029205
5816,Epinephrine,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,HUVEC,0.006541073322296143
25267092,Tranylcypromine sulphate,C1[C@H]([C@@H]1N)C2=CC=CC=C2.C1[C@H]([C@@H]1N)C2=CC=CC=C2.OS(=O)(=O)O,HUVEC,0.006544299423694611
16212180,Doramectin synthetic,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4CC(C/C=C(/[C@H]1O[C@@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,HUVEC,0.006762400269508362
129628999,"(1'R,2S,3S,4'S,6S,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2S,4S,5R,6S)-5-[(2R,4S,5R,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4CC(C/C=C(/[C@H]1O[C@@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@@H]6C[C@@H]([C@@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@@H](O7)C8CCCCC8)C)O,HUVEC,0.006927378475666046
68624,Lomefloxacin Hydrochloride,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,HUVEC,0.006955742835998535
6151,Mebutamate,CCC(C)C(C)(COC(=O)N)COC(=O)N,HUVEC,0.00705505907535553
5152,Salmeterol,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,HUVEC,0.0070944130420684814
441233,(1R)-2-phenylcyclopropan-1-amine,C1[C@H](C1C2=CC=CC=C2)N,HUVEC,0.007173910737037659
122119,"4-[[(1R)-2-[[(2R)-3-(2,3-dihydro-1H-indol-3-yl)-2-methyl-2-[[(1S,4S)-1,7,7-trimethyl-6-bicyclo[2.2.1]heptanyl]oxycarbonylamino]propanoyl]amino]-1-phenylethyl]amino]-4-oxobutanoic acid",C[C@]12CC[C@H](C1(C)C)CC2OC(=O)N[C@](C)(CC3CNC4=CC=CC=C34)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O,HUVEC,0.007931798696517944
4064,Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N,HUVEC,0.007991820573806763
92211238,"4-[[(1R)-2-[[(2R)-3-(1H-indol-3-yl)-2-methyl-2-[[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl]oxycarbonylamino]propanoyl]amino]-1-phenylethyl]amino]-4-oxobutanoic acid",C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)N[C@](C)(CC3=CNC4=CC=CC=C43)C(=O)NC[C@@H](C5=CC=CC=C5)NC(=O)CCC(=O)O,HUVEC,0.00800614058971405
2717,Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,HUVEC,0.008117437362670898
15951529,Enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,HUVEC,0.008217915892601013
178132,Alnespirone,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@H]3CC4=C(C=CC=C4OC)OC3,HUVEC,0.008251681923866272
202484,"8-Azaspiro(4.5)decane-7,9-dione, 8-(4-(((3R)-3,4-dihydro-5-methoxy-2H-1-benzopyran-3-yl)propylamino)butyl)-, monohydrochloride",CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]3CC4=C(C=CC=C4OC)OC3.Cl,HUVEC,0.008418992161750793
5369129,Neuronica,COC1=CC(=O)OC(C1)/C=C/C2=CC=CC=C2,HUVEC,0.008869260549545288
9826391,"4-(N-(5-Methoxychroman-3-yl)-N-propylamino)butyl-8-azaspiro(4,5)decane-7,9-dione",CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@H]3CC4=C(C=CC=C4OC)OC3.Cl,HUVEC,0.009084701538085938
146570,Escitalopram,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,HUVEC,0.009394921362400055
182137,Esketamine,CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,HUVEC,0.009509146213531494
9895468,Nelivaptan,CN(C)C(=O)[C@@H]1C[C@H](CN1[C@]2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O,HUVEC,0.009695209562778473
114827,"2-Aminobicyclo[3.1.0]hexane-2,6-dicarboxylic acid",C1CC(C2C1C2C(=O)O)(C(=O)O)N,HUVEC,0.009988546371459961
3675,Phenelzine,C1=CC=C(C=C1)CCNN,HUVEC,0.009997569024562836
2707,Chloral Hydrate,C(C(Cl)(Cl)Cl)(O)O,HUVEC,0.010267019271850586
76958276,N-((1S)-1-(3-Chloro-1-naphthalenyl)ethyl)-2-(4-(4-fluorophenyl)-1-methyl-4-P iperidinyl)-N-methylacetamide,C[C@@H](C1=CC(=CC2=CC=CC=C21)Cl)N(C)C(=O)CC3(CCN(CC3)C)C4=CC=C(C=C4)F,HUVEC,0.010360732674598694
71346,Binospirone mesylate,CS(=O)(=O)O.C1CCC2(C1)CC(=O)N(C(=O)C2)CCNCC3COC4=CC=CC=C4O3,HUVEC,0.010418444871902466
5568,Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,HUVEC,0.010541483759880066
1893,7-Nitroindazole,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2,HUVEC,0.010584130883216858
11250647,Elagolix,CC1=C(C(=O)N(C(=O)N1CC2=C(C=CC=C2F)C(F)(F)F)C[C@@H](C3=CC=CC=C3)NCCCC(=O)O)C4=C(C(=CC=C4)OC)F,HUVEC,0.010714970529079437
43815,Paroxetine,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,HUVEC,0.01117013394832611
45934481,(R)-Kawain,COC1=CC(=O)OC(C1)/C=C\C2=CC=CC=C2,HUVEC,0.011545524001121521
119090957,(E)-Fluvoxamine-d4 Maleate,[2H]C([2H])(C([2H])([2H])O/N=C(/CCCCOC)\C1=CC=C(C=C1)C(F)(F)F)N.C(=C\C(=O)O)\C(=O)O,HUVEC,0.011835843324661255
1989,Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,HUVEC,0.012157924473285675
667477,Doxepin,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,HUVEC,0.01220877468585968
104974,Saredutant,CC(=O)NC1(CCN(CC1)CC[C@H](CN(C)C(=O)C2=CC=CC=C2)C3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4,HUVEC,0.01238938421010971
9330,Benactyzine,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,HUVEC,0.012397952377796173
5282426,Dothiepin,CN(C)CC/C=C\1/C2=CC=CC=C2CSC3=CC=CC=C31,HUVEC,0.012577079236507416
139585898,"(1'R,2R,3S,4'S,6S,8'R,10'Z,12'S,14'Z,16'Z,20'R,21'R,24'S)-2-cyclohexyl-21',24'-dihydroxy-12'-[(2R,4S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",C[C@H]1C=C[C@]2(C[C@@H]3C[C@H](O2)C/C=C(\[C@H](C(/C=C\C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H](C([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)/C)O[C@@H]1C8CCCCC8,HUVEC,0.01303768903017044
21029444,"4-[[(1R)-2-[[(2S)-3-(1H-indol-3-yl)-2-methyl-2-[(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl)oxycarbonylamino]propanoyl]amino]-1-phenylethyl]amino]-4-oxobutanoic acid",CC1(C2CCC1(C(C2)OC(=O)NC(C)(CC3=CNC4=CC=CC=C43)C(=O)NCC(C5=CC=CC=C5)NC(=O)CCC(=O)O)C)C,HUVEC,0.01304643601179123
71897,Mepiprazole,CC1=CC(=NN1)CCN2CCN(CC2)C3=CC(=CC=C3)Cl,HUVEC,0.013330496847629547
16130993,Octadecaneuropeptide,C[C@H]([C@@H](C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)N)O,HUVEC,0.013483121991157532
6526,Emylcamate,CCC(C)(CC)OC(=O)N,HUVEC,0.01438838243484497
